source	date	quote	quote_lemmatized	values	values_minimal
1	20150916	"Die permanenten Klagen aus den Ländern und Kommunen konnte die Bundesregierung nicht mehr ignorieren, sodass sie für den 24. September einen  ""Flüchtlingsgipfel""  in Berlin angesetzt hat, der sich mit der Lastenverteilung befassen soll."	permanent Klage Land Kommune Bundesregierung mehr ignorieren sodass September   Flüchtlingsgipfel   Berlin ansetzen Lastenverteilung befassen sollen 	['100', '190']	{'1'}
1	20150814	Luise Amtsberg: Wir lehnen einen längeren Verbleib in Erstaufnahmeunterkünften aus menschenrechtlichen Erwägungen ab	Luise Amtsberg lehnen lang Verbleib Erstaufnahmeunterkünftum menschenrechtlich Erwägung ab 	['200', '209']	{'2'}
1	20150814	Brandenburgs Ministerpräsident Dietmar Woidke (SPD) will das Asylrecht ändern: Flüchtlinge sollen in Erstaufnahmelagern bleiben, bis ihr Asylantrag bearbeitet ist.	Brandenburg Ministerpräsident Dietmar Woidke SPD Asylrecht ändern Flüchtling sollen Erstaufnahmelager bleiben Asylantrag bearbeiten 	['200', '209']	{'2'}
1	20151223	Zuvor hatte bereits die CSU-Landesgruppenvorsitzende im Bundestag, Gerda Hasselfeldt, ein entsprechendes Gesetz gefordert.	zuvor bereits CSU-Landesgruppenvorsitzender Bundestag Gerda Hasselfeldt entsprechend Gesetz fordern 	['300', '309']	{'3'}
1	20151229	Bundessozialministerin Andrea Nahles (SPD) will per Gesetz den Sozialhilfeanspruch von EU-Ausländern beschränken. 	Bundessozialministerin Andrea Nahles SPD per Gesetz Sozialhilfeanspruch EU-Ausländer beschränken 	['300', '309']	{'3'}
1	20151229	Nahles will Sozalhilfeanspuch beschränken	Nahles Sozalhilfeanspuch beschränken 	['300', '309']	{'3'}
1	20150625	Wir bräuchten mehr spezifizierte Fortbildungsangebote , die auf die kulturellen Hintergründe und die besondere Art der Traumatisierung dieser Patienten eingehen .	bräuchn mehr spezifiziert Fortbildungsangebot kulturell Hintergrund besonderer Art Traumatisierung Patient eingehen 	['300', '309']	{'3'}
1	20150908	"Schäuble hatte vor einer Woche im Bundestag angekündigt , dass die Bewältigung der Flüchtlingskrise "" absolute Priorität "" habe und dafür in anderen Bereichen gespart werden müsse ."	Schäuble Woche Bundestag ankündigen Bewältigung Flüchtlingskrise absolut Priorität dafür Bereich sparen müssen 	['100', '190']	{'1'}
1	20151208	"Die CDU-Politikerin Julia Klöckner hat die Forderung nach einem  ""Burka"" -Verbot aus der Mottenkiste geholt, andere in der Union folgen ihr und drängen auf ein Verbot des Ganzkörperschleiers."	CDU-Politikerin Julia Klöckner Forderung   Burka Verbot Mottenkiste holen Union folgen drängen Verbot Ganzkörperschleier 	['300', '303']	{'3'}
1	20151111	" Die Rückkehr zu Dublin-Verfahren sei der  ""richtige Weg"" "	  Rückkehr Dublin-Verfahren   richtig 	['800', '806']	{'8'}
1	20150501	 Bereits im Mai hatte Bundesinnenministerer Thomas de Maizière (CDU) angekündigt, dass die Abschiebungen aus den Sonderlagern in die Balkanstaaten von der Bundespolizei zentral gesteuert und durchgeführt werden	  bereits Mai Bundesinnenministerer Thomas de Maizière CDU ankündigen Abschiebung Sonderlager Balkanstaat Bundespolizei zentral steuern durchführen 	['800', '899']	{'8'}
1	20151029	Der österreichische Bundeskanzler Werner Faymann schloss am Donnerstag eine Schließung der Grenze zu Slowenien aus.	österreichisch Bundeskanzler Werner Faymann schloss Donnerstag Schließung Grenze Slowenien 	['100', '107']	{'1'}
1	20150809	""" Weniger Taschengeld , Wiedereinreisesperren , "" Rückführungs "" -Videos : Der Andrang von Asylbewerbern aus dem Westbalkan soll drastisch begrenzt werden"	weniger Taschengeld Wiedereinreisesperr Rückführung -Videos Andrang Asylbewerber Westbalkan sollen drastisch begrenzen 	['200', '212']	{'2'}
1	20150913	Der Münchner CSU-Chef kritisiert Kanzlerin Angela Merkel für ihre Entscheidung, Flüchtlinge aus Ungarn unregistriert einreisen zu lassen.	Münchner CSU-Chef kritisieren Kanzlerin Angela Merkel Entscheidung Flüchtling Ungarn unregistriert einreisen lassen 	['100', '101']	{'1'}
1	20151104	Die Union favorisiert dagegen Transitzentren in Grenznähe.	Union favorisieren dagegen Transitzentr Grenznähe 	['200', '203']	{'2'}
1	20150922	Der Bund hatte vor einem Monat bei einem Gipfel im Kanzleramt angekündigt, selbst 40.000 Erstaufnahmeplätze zu schaffen.	Bund Monat Gipfel Kanzleramt ankündigen Erstaufnahmeplatz schaffen 	['200', '204']	{'2'}
1	20150424	ber auch sie will kein Geld für humanitäre Fähren ausgeben oder das Visasystem ändern	Ber Geld humanitär Fähre ausgeben Visasystem ändern 	['100', '199']	{'1'}
1	20150820	Die Bundesrepublik nehme derzeit 40 Prozent aller Flüchtlinge in der EU auf. Das müsse sich ändern.	Bundesrepublik nehmen derzeit Prozent Flüchtling EU müssen ändern 	['100', '190']	{'1'}
1	20151004	"Seine Forderung: Deutschland müsse dringend die Botschaft senden, dass es  ""allein nicht alle Flüchtlinge aufnehmen kann"" ."	Forderung Deutschland müssen dringend Botschaft senden   allein Flüchtling aufnehmen 	['500', '502']	{'5'}
1	20150414	"Während sich der Innenminister ein  ""Zuwanderungsmarketing""  wünscht, um den Fachkräftemangel der deutschen Wirtschaft in den Griff zu kriegen, werden Schutzsuchende und deren HelferInnen in den Ländern und Kommunen bedroht"	Innenminister   Zuwanderungsmarketing   wünschen Fachkräftemangel deutsch Wirtschaft Griff kriegen schutzsuchende HelferInnen Land Kommune bedrohen 	['100', '101']	{'1'}
1	20151018	Sie persönlich werde sich darüber hinaus dafür einsetzen, dass die Visavergabe innerhalb EU für türkischen Bürger erleichtert wird. 	persönlich darüber hinaus dafür einsetzen Visavergabe innerhalb EU türkisch Bürger erleichtern 	['500', '507']	{'5'}
1	20150202	Und auch der Generalsekretär des CDU-Wirtschaftsrats, Wolfgang Steiger, sprach sich wie der SPD-Mann Oppermann dafür aus, die Zuwanderung nach dem Vorbild Kanadas mit einem Punktesystem zu steuern.	Generalsekretär CDU-Wirtschaftsrat Wolfgang Steiger sprechen SPD-Mann Oppermann dafür Zuwanderung Vorbild Kanada Punktesystem steuern 	['100', '101', '108']	{'1'}
1	20150131	Am Wochenende wurde er dann erstmals konkret: Mit einem flexiblen Punktesystem nach kanadischem Vorbild möchte er den Zuzug von Ausländern nach Deutschland steuern.	Wochenende erstmals konkret flexibl Punktesystem kanadisch Vorbild möchten Zuzug Ausländer Deutschland steuern 	['100', '101']	{'1'}
1	20150819	Die Regierung will nun stärker differenzieren: schneller Schutz für Bürgerkriegsflüchtlinge, harte Kante gegen Balkan-Einreisende.	Regierung stark differenzieren schnell Schutz Bürgerkriegsflüchtling hart Kant Balkan-Einreisend 	['100', '101', '102', '800', '812']	{'8', '1'}
1	20150907	Zudem will der Bund eigene Immobilien als Unterkünfte zur Verfügung stellen und darüber hinaus die Schaffung von Wohnraum für Flüchtlinge unterstützen – mit Geld und mit der vorübergehenden Lockerung von Bauvorschriften.	zudem Bund eigen Immobilie Unterkünfte Verfügung stellen darüber hinaus Schaffung Wohnraum Flüchtling unterstützen Geld vorübergehend Lockerung Bauvorschriften 	['200', '202', '204', '800', '805', '812']	{'8', '2'}
1	20151102	"Das Unionspapier schlägt vor, den sogenannten Familiennachzug für Antragssteller mit  ""subsidiärem Schutz""  – also einem Schutz mit kürzerer Befristung – für einen Zeitraum von zwei Jahren  ""auszusetzen"""	Unionspapier schlagen sogenannter Familiennachzug Antragssteller   subsidiärem Schutz   - Schutz kürzer Befristung Zeitraum zwei Jahr   aussetzen 	['200', '210']	{'2'}
1	20151112	"Dennoch stellte sich vor allem Bayerns Justizminister Winfried Bausback (CSU) gegen die Änderungswünsche:  ""Es wäre angesichts des unkontrollierten Zustroms von Migranten das völlig falsche Signal, bei der Einreisekriminalität zurückzuweichen."" "	dennoch stellen Bayern Justizminister Winfried Bausback CSU Änderungswünsche   angesichts unkontrolliert Zustrom Migrant völlig falsch Signal Einreisekriminalität zurückzuweichen 	['800', '807']	{'8'}
1	20150913	Er forderte die anderen EU-Staaten auf, die Flüchtlinge wieder zu registrieren und deren Asylverfahren durchzuführen.	fordern EU-Staat Flüchtling registrieren Asylverfahren durchführen 	['500', '501']	{'5'}
1	20150913	Gabriel forderte, das Tempo des Zuzugs müsse gedrosselt werden.	Gabriel fordern Tempo Zuzug müssen drosseln 	['100', '101']	{'1'}
1	20151108	Dem Antrag zufolge sollen alle Flüchtlingssozialarbeiter – auch die ehrenamtlichen – zum Thema sexuelle Gewalt fortgebildet werden.	Antrag zufolge sollen Flüchtlingssozialarbeiter ehrenamtlich Thema sexuell Gewalt fortgebildeen 	['800', '899']	{'8'}
1	20150913	Dieser Patriotismus will Integration: Mit der doppelten Staatsbürgerschaft geben wir den Zuflucht Suchenden die Chance, ein echter Teil der Gesellschaft zu werden, ohne dass wir verlangen, dass sie ihre Wurzeln kappen.	Patriotismus Integration doppelt Staatsbürgerschaft geben Zuflucht Suchenden Chance echt Teil Gesellschaft verlangen Wurzel kappen 	['200', '214']	{'2'}
1	20151007	Die Universität Hamburg will Flüchtlingen, die ihr Studium im Heimatland abbrechen mussten, den Weg für einen akademischen Neustart in Deutschland ebnen	Universität Hamburg Flüchtling Studium Heimatland abbrechen mussen akademisch Neustart Deutschland ebnen 	['600', '607']	{'6'}
1	20151007	Zuvor hatte die Hochschule für Angewandte Wissenschaften (HAW) angekündigt, im Wintersemester rund 30 Flüchtlinge als Gasthörer aufzunehmen.	zuvor Hochschule Angewandte Wissenschaft HAW ankündigen Wintersemester rund Flüchtling Gasthörer aufnehmen 	['600', '607']	{'6'}
1	20151108	Innenminister Thomas de Maizière (CDU) will aber nur noch subsidiären Schutz gewähren.	Innenminister Thomas de Maizière CDU subsidiär Schutz gewähren 	['100', '110']	{'1'}
1	20150508	"""Noch besser wäre es, Menschen nach einem überlangen Asylverfahren unkompliziert per Altfallregelung einfach anzuerkennen – sie haben die quälend lange Dauer der Verfahren schließlich nicht zu verantworten."	gut Mensch überlang Asylverfahren unkompliziert per Altfallregelung einfach anerkennen quälend lang Dauer Verfahren schließlich verantworten 	['800', '899']	{'8'}
1	20150920	Asylanträge aus sicheren Herkunftsstaaten sollen künftig binnen weniger Tage erledigt werden.	Asylantrag sicher Herkunftsstaat sollen künftig binnen weniger Tag erledigen 	['500', '504', '800', '812']	{'8', '5'}
1	20150920	"Eine weitere massive Verfahrensbeschleunigung ist an der Grenze vorgesehen, solange es vorübergehende Grenzkontrollen gibt. Hier sollen Asylantragsteller sofort inhaftiert werden können, bevor sie als eingereist gelten. Noch an der Grenze soll dann geprüft werden, ob Anträge unzulässig oder  ""offensichtlich unbegründet""  sind."	weit massiv Verfahrensbeschleunigung Grenze vorsehen solange vorübergehend Grenzkontrolle geben sollen Asylantragsteller sofort inhaftieren bevor einreisen gelten Grenze sollen prüfen Antrag unzulässig   offensichtlich unbegründet   	['100', '105', '800', '812']	{'8', '1'}
1	20150217	 Flüchtlingsorganisationen mahnen allerdings zur Einzelfallprüfung und verweisen auf politische Verfolgung im Kosovo.	  Flüchtlingsorganisation mahnen allerdings Einzelfallprüfung verweisen politisch Verfolgung Kosovo 	['500', '504', '800', '812']	{'8', '5'}
1	20151012	Seehofer drängt auf Schnellverfahren direkt an der Grenze	Seehofer drängen Schnellverfahren direkt Grenze 	['800', '812']	{'8'}
1	20151202	"Und Berlins CDU-Innensenator Frank Henkel sprach gar von einer  ""Gefahr für den sozialen Frieden""  durch die Flüchtlinge:"	Berlin CDU-Innensenator Frank Henkel sprechen gar   Gefahr sozial Frieden   Flüchtling 	['400', '404']	{'4'}
1	20151102	Deutschland sollte Kontingente festlegen und einen Flüchtlings-Soli erheben	Deutschland sollen Kontingent festlegen Flüchtlings-Soli erheben 	['100', '102', '600', '609']	{'6', '1'}
1	20150618	Neben Einmal-Zuschüssen will das Ministerium die Kommunen vor allem dadurch entlasten, dass Flüchtlinge aus den Balkanstaaten in den Erstaufnahmeeinrichtungen der Länder bleiben.	neben Einmal-Zuschüss Ministerium Kommune dadurch entlasten Flüchtling Balkanstaat Erstaufnahmeeinrichtung Land bleiben 	['800', '803']	{'8'}
2	20151221	Das ist widersinnig und schlichtweg nicht nachvollziehbar.	widersinnig schlichtweg nachvollziehbar 	['200', '207', '500', '504']	{'5', '2'}
2	20151028	CDU/CSU Horst Seehofer droht der Kanzlerin mit Konsequenzen, sollte die Zahl der Flüchtlinge nicht sinken.	CDU/CSU Horst Seehofer drohen Kanzlerin Konsequenz sollen Zahl Flüchtling sinken 	['100', '102']	{'1'}
2	20151028	Nun hat Seehofer der Bundesregierung am Dienstag ein Ultimatum gestellt: Bis zum Sonntag soll Angela Merkel die Zuwanderung von Flüchtlingen begrenzen.	Seehofer Bundesregierung Dienstag Ultimatum stellen Sonntag sollen Angela Merkel Zuwanderung Flüchtling begrenzen 	['100', '102']	{'1'}
2	20151014	 Vor zwei Wochen drohte Bayerns Ministerpräsident bereits mit einer Verfassungsklage, sollte die – von seiner CSU übrigens mit geführte – Bundesregierung nicht für die Einhaltung geltender Gesetze sorgen.	  zwei Woche drohen Bayern Ministerpräsident bereits Verfassungsklage sollen CSU übrigens geführt Bundesregierung Einhaltung geltend Gesetz sorgen 	['800', '801']	{'8'}
2	20151028	"Im Bayerischen Landtag sagte Seehofer, er wünsche sich  ""nach wie vor das Gute, nämlich eine Verständigung über die Maßnahmen zur Begrenzung"""	bayerisch Landtag sagen Seehofer wünschen   gute nämlich Verständigung Maßnahme Begrenzung 	['100', '102']	{'1'}
2	20151028	Mitgliedsländer, die sich aus dem Flüchtlingsthema ausklinkten, müssten die Folgen zu spüren bekommen.	Mitgliedsland Flüchtlingsthema ausklinkten müssten Folge spüren bekommen 	['500', '501']	{'5'}
2	20151015	Gesamteuropäische Herausforderungen dürften nicht zu Problemen einzelner Mitglieder erklärt werden.	gesamteuropäisch Herausforderung dürfen Problem einzeln Mitglied erklären 	['500', '501']	{'5'}
2	20151015	Gleichwohl müsse Europa seine Außengrenzen besser sichern.	gleichwohl müssen Europa Außengrenze gut sichern 	['100', '105', '500', '501']	{'5', '1'}
2	20151015	"Sie forderte ein Europa,  ""das sich solidarisch verhält"" ."	fordern Europa   solidarisch verhalten 	['500', '501']	{'5'}
2	20151015	 Jeder Staat müsse deshalb das Recht haben, sein Gebiet zu schützen. 	  Staat müssen deshalb Recht Gebiet schützen 	['100', '106']	{'1'}
2	20151015	Der fordert in München wieder einmal die Einrichtung von Transitzonen	fordern München Einrichtung Transitzone 	['200', '215']	{'2'}
2	20151015	"SPD-Fraktionschef Thomas Oppermann forderte in seiner Rede, dass aus  ""Wir schaffen das""  nun ein  ""Wir machen das""  werden müsse."	SPD-Fraktionschef Thomas Oppermann fordern Rede   schaffen       müssen 	['800', '899']	{'8'}
2	20151015	Der Fraktionsvize der Union nutzte am Donnerstag im Parlament die Aussprache über das neue Asylgesetz, um kräftig Stimmung gegen Flüchtlinge zu machen.	Fraktionsvize Union nutzen Donnerstag Parlament Aussprache neu Asylgesetz kräftig Stimmung Flüchtling 	['700', '703']	{'7'}
2	20151015	Abermals drängte Seehofer auf die Einrichtung sogenannter Transitzonen an der deutschen Außengrenze.	Abermals drängen Seehofer Einrichtung sogenannter Transitzone deutsch Außengrenze 	['200', '215']	{'2'}
2	20151015	"""Ohne Begrenzung der Zuwanderung werden wir als staatliche Gemeinschaft in Deutschland und Europa grandios scheitern"" , rief er."	Begrenzung Zuwanderung staatlich Gemeinschaft Deutschland Europa grandios scheitern rufen 	['100', '102']	{'1'}
2	20151015	"""Abschottung ist im 21. Jahrhundert eine Illusion"" , sagte Merkel in ihrer Rede."	Abschottung Jahrhundert Illusion sagen Merkel Rede 	['100', '104']	{'1'}
2	20151028	Kein Land dürfe über Nacht und ohne Vorwarnung Tausende Flüchtlinge an die deutsche Grenze bringen, das sei selbst für die beste Verwaltung nicht zu schaffen. 	Land dürfen Nacht Vorwarnung Tausend Flüchtling deutsch Grenze bringen gut Verwaltung schaffen 	['500', '599', '800', '810']	{'8', '5'}
2	20151015	Bundestag Verschärfung des Asylrechts durchgewunken.	Bundestag Verschärfung Asylrecht durchgewunken 	['100', '110']	{'1'}
2	20151015	Merkel warb im Bundestag für das Gesetzespaket.	Merkel werben Bundestag Gesetzespaket 	['100', '199']	{'1'}
2	20151015	"""Aber wir sollten nicht Ängste und Neid verstärken."""	sollen Angst Neid verstärken 	['700', '701']	{'7'}
2	20151015	"""Abschottung ist   im 21. Jahrhundert eine Illusion"""	Abschottung    Jahrhundert Illusion 	['100', '104']	{'1'}
2	20151015	Veränderungen des Bleiberechts passieren das Parlament. Sie richten sich vor allem gegen Flüchtlinge aus den Westbalkan-Staaten	Veränderung Bleiberecht passieren Parlament richten Flüchtling Westbalkan-Staat 	['200', '211']	{'2'}
2	20151015	" ""Aber Grenzhaftlager für Tausende von Flüchtlingen, das wird mit uns nicht zu machen sein."""	  Grenzhaftlager Tausend Flüchtling 	['200', '215']	{'2'}
2	20151015	" ""Wir wollen auch bessere Kontrollen an der Grenze"" , sagte er."	  gut Kontrolle Grenze sagen 	['100', '105']	{'1'}
2	20151015	Ebendiese politische Klasse winkte schließlich das Asylpaket durch. 	ebendieser politisch Klasse winken schließlich Asylpaket 	['100', '110']	{'1'}
2	20151015	"Die allermeisten Unionsabgeordneten applaudierten der  ""Chefin"" , wie Merkel genannt wird."	allermeister Unionsabgeordnete applaudieren   Chefin Merkel nennen 	['500', '501']	{'5'}
2	20151012	Die EU solle sich lieber für bessere Arbeitsmöglichkeiten einsetzen, als neue Lager zu bauen.	EU sollen lieber gut Arbeitsmöglichkeit einsetzen neu Lager bauen 	['600', '601']	{'6'}
2	20151015	"Grünen-Fraktionschefin Katrin Göring-Eckardt forderte Merkels Kritiker in der Unionsfraktion auf, endlich  ""aus der Angstecke""  zu kommen."	Grünen-Fraktionschefin Katrin Göring-Eckardt fordern Merkel Kritiker Unionsfraktion endlich   Angstecke   kommen 	['700', '701']	{'7'}
2	20151015	"Wagenknecht warf der Bundesregierung  ""eklatantes Staatsversagen""  in der Flüchtlingskrise vor."	Wagenknecht werfen Bundesregierung   eklatant Staatsversage   Flüchtlingskrise 	['100', '190']	{'1'}
2	20151015	"Grünen-Fraktionschefin Katrin Göring-Eckardt forderte Merkels Kritiker in der Unionsfraktion auf, endlich  ""aus der Angstecke""  zu kommen. Merkels  ""Wir schaffen das""  sei  ""absolut christlich"" . Göring-Eckardt sagte, es sei wichtig, auf die Sorgen der Bürger einzugehen.  ""Aber wir sollten nicht Ängste und Neid verstärken."""	Grünen-Fraktionschefin Katrin Göring-Eckardt fordern Merkel Kritiker Unionsfraktion endlich   Angstecke   kommen Merkel   schaffen     absolut christlich Göring-Eckardt sagen wichtig Sorge Bürger eingehen   sollen Angst Neid verstärken 	['700', '713']	{'7'}
2	20151015	"In einem reichen Land wie Deutschland müsse man nun den Mut haben,  ""das Geld bei den Reichen zu holen"""	reich Land Deutschland müssen Mut   Geld reiche holen 	['600', '609', '800', '805']	{'8', '6'}
2	20151015	Der rechte Mob müsse mit seiner Angstmache an den Rand gedrängt werden.	rechter Mob müssen Angstmach Rand drängen 	['700', '709']	{'7'}
2	20151015	Auch eine von Finanzminister Wolfgang Schäuble (CDU) in die Diskussion gebrachte Kürzung von Hartz-IV-Zahlungen an Flüchtlinge lehnte Oppermann ab.	Finanzminister Wolfgang Schäuble CDU Diskussion gebracht Kürzung Hartz-IV-Zahlung Flüchtling lehnen Oppermann ab 	['300', '309']	{'3'}
2	20150911	"Der frühere Bundesinnenminister Hans-Peter Friedrich legte nach und bezeichnet die Entscheidung, die Flüchtlinge aus Ungarn unregistriert ins Land zu lassen, als  ""beispiellose politische Fehlleistung""  der Bundesregierung, auch weil eine schwer abschätzbare Zahl von IS-Kämpfern und islamistischen Schläfern sei."	früh Bundesinnenminister Hans-Peter Friedrich legen bezeichnen Entscheidung Flüchtling Ungarn unregistriern Land lassen   beispiellos politisch Fehlleistung   Bundesregierung schwer abschätzbar Zahl IS-Kämpfer islamistisch Schläfern 	['100', '190']	{'1'}
2	20151015	"""Niemand anders ist für Zuwanderungs- und Aufenthaltsrecht zuständig als der Bund"" , sagte Seehofer.  ""Dafür wird Bayern nicht die politische Verantwortung übernehmen."""	niemand Zuwanderung Aufenthaltsrecht zuständig Bund sagen Seehofer   dafür Bayern politisch Verantwortung übernehmen 	['800', '802']	{'8'}
2	20151015	"Gelinge dies nicht,  ""dann wird uns nichts anderes übrigbleiben, um wieder unsere nationalen deutschen Grenzen zu schützen"" ."	Gelinge   übrigbleiben national deutsch Grenze schützen 	['100', '106']	{'1'}
