token	label	f_x	f_y	f_xy	pmi	pmi_freq
Mazedonien	5	5793	5	4	1.6314213223287404	2.6256713273092473
Bosnien-Herzegowina	5	5793	5	4	1.6314213223287404	2.6256713273092473
EU-Innenminister	5	5793	5	4	1.6314213223287404	2.6256713273092473
Amtskollege	5	5793	5	4	1.6314213223287404	2.6256713273092473
grün	5	5793	22	8	0.8429639619644702	2.605637393083302
zurücknehmen	5	5793	6	4	1.449099765534786	2.596438226753107
bekräftigen	5	5793	6	4	1.449099765534786	2.596438226753107
Ska	5	5793	6	4	1.449099765534786	2.596438226753107
aufnehmen	5	5793	66	19	0.609349110782965	2.5529623915414352
ablehnen	5	5793	19	7	0.8560360435318229	2.5205458941465193
Verteilungsschlüssel	5	5793	7	4	1.2949490857075274	2.519854568388176
Keller	5	5793	7	4	1.2949490857075274	2.519854568388176
Zustimmung	5	5793	12	5	0.9790961362890501	2.432962499846399
stimmen	5	5793	16	6	0.873735620631224	2.4225095279813074
Verfolgung	5	5793	8	4	1.161417693083005	2.415100198238762
Wien	5	5793	8	4	1.161417693083005	2.415100198238762
verhandeln	5	5793	8	4	1.161417693083005	2.415100198238762
Entwicklungshilfe	5	5793	8	4	1.161417693083005	2.415100198238762
Erdoğan	5	5793	8	4	1.161417693083005	2.415100198238762
französisch	5	5793	8	4	1.161417693083005	2.415100198238762
allein	5	5793	8	4	1.161417693083005	2.415100198238762
aktuell	5	5793	8	4	1.161417693083005	2.415100198238762
möchten	5	5793	36	11	0.6689412079852107	2.3971634875287102
Außengrenze	5	5793	32	10	0.6914140638372692	2.396258544741486
sogenannter	5	5793	37	11	0.6415422337970963	2.3165563437357237
schicken	5	5793	13	5	0.8990534286155138	2.306026514050954
Winfried	5	5793	17	6	0.8131109988147891	2.3037169320409387
Syrien	5	5793	17	6	0.8131109988147891	2.3037169320409387
Verantwortung	5	5793	17	6	0.8131109988147891	2.3037169320409387
Kretschmann	5	5793	25	8	0.7151305904545853	2.3019165692379864
Kontingent	5	5793	21	7	0.7559525849748405	2.3015146068109247
Vorschlag	5	5793	58	16	0.566710585336312	2.301096035231498
Balkanroute	5	5793	9	4	1.0436346574266213	2.293099719057638
Ägäis	5	5793	9	4	1.0436346574266213	2.293099719057638
beantragen	5	5793	9	4	1.0436346574266213	2.293099719057638
vieler	5	5793	46	13	0.5908728346153919	2.262240194669344
Österreich	5	5793	30	9	0.6505920693170142	2.2127920426911922
bereit	5	5793	18	6	0.7559525849748405	2.1849840019198794
zurück	5	5793	18	6	0.7559525849748405	2.1849840019198794
zustimmen	5	5793	18	6	0.7559525849748405	2.1849840019198794
wehren	5	5793	14	5	0.824945456461792	2.177078353408297
Sicht	5	5793	14	5	0.824945456461792	2.177078353408297
Grenzschützer	5	5793	5	3	1.3437392498769594	2.1626648931777375
Rom	5	5793	5	3	1.3437392498769594	2.1626648931777375
vehement	5	5793	5	3	1.3437392498769594	2.1626648931777375
Hessen	5	5793	5	3	1.3437392498769594	2.1626648931777375
akzeptieren	5	5793	5	3	1.3437392498769594	2.1626648931777375
Dimitris	5	5793	5	3	1.3437392498769594	2.1626648931777375
Sommer	5	5793	5	3	1.3437392498769594	2.1626648931777375
EU-Sondergipfel	5	5793	5	3	1.3437392498769594	2.1626648931777375
Pilotprojekt	5	5793	5	3	1.3437392498769594	2.1626648931777375
umfassend	5	5793	10	4	0.938274141768795	2.1604560519786093
registrieren	5	5793	10	4	0.938274141768795	2.1604560519786093
Ungarn	5	5793	48	13	0.5483132201965959	2.1226306923192233
Nordafrika	5	5793	6	3	1.161417693083005	2.080981149310477
treffen	5	5793	6	3	1.161417693083005	2.080981149310477
pochen	5	5793	6	3	1.161417693083005	2.080981149310477
genannt	5	5793	6	3	1.161417693083005	2.080981149310477
baden-württembergisch	5	5793	6	3	1.161417693083005	2.080981149310477
Katastrophe	5	5793	6	3	1.161417693083005	2.080981149310477
Müsst	5	5793	6	3	1.161417693083005	2.080981149310477
Schmuggler	5	5793	6	3	1.161417693083005	2.080981149310477
Verhandlung	5	5793	6	3	1.161417693083005	2.080981149310477
wonach	5	5793	6	3	1.161417693083005	2.080981149310477
anwenden	5	5793	6	3	1.161417693083005	2.080981149310477
wohl	5	5793	6	3	1.161417693083005	2.080981149310477
Einigung	5	5793	6	3	1.161417693083005	2.080981149310477
entsprechend	5	5793	15	5	0.7559525849748405	2.0471575497648526
Rede	5	5793	15	5	0.7559525849748405	2.0471575497648526
EU-Außengrenze	5	5793	11	4	0.8429639619644702	2.0213392995339885
Migrationspolitik	5	5793	11	4	0.8429639619644702	2.0213392995339885
Beck	5	5793	11	4	0.8429639619644702	2.0213392995339885
Rumänien	5	5793	11	4	0.8429639619644702	2.0213392995339885
Küste	5	5793	11	4	0.8429639619644702	2.0213392995339885
Bundeskanzler	5	5793	7	3	1.0072670132557464	1.9600511039029898
Angriff	5	5793	7	3	1.0072670132557464	1.9600511039029898
Athen	5	5793	7	3	1.0072670132557464	1.9600511039029898
inakzeptabel	5	5793	7	3	1.0072670132557464	1.9600511039029898
erweitern	5	5793	7	3	1.0072670132557464	1.9600511039029898
definieren	5	5793	7	3	1.0072670132557464	1.9600511039029898
Grenzschutz	5	5793	7	3	1.0072670132557464	1.9600511039029898
Mittwoch	5	5793	29	8	0.566710585336312	1.9082821908121574
mindestens	5	5793	12	4	0.7559525849748405	1.8784716053284096
Bewältigung	5	5793	12	4	0.7559525849748405	1.8784716053284096
verbessern	5	5793	12	4	0.7559525849748405	1.8784716053284096
schließlich	5	5793	12	4	0.7559525849748405	1.8784716053284096
letzter	5	5793	21	6	0.6018019051475823	1.8321994032865172
beide	5	5793	21	6	0.6018019051475823	1.8321994032865172
drängen	5	5793	21	6	0.6018019051475823	1.8321994032865172
Mai	5	5793	8	3	0.873735620631224	1.8168821459859805
Herrmann	5	5793	8	3	0.873735620631224	1.8168821459859805
national	5	5793	8	3	0.873735620631224	1.8168821459859805
Fraktionschef	5	5793	8	3	0.873735620631224	1.8168821459859805
Flüchtlingsorganisation	5	5793	8	3	0.873735620631224	1.8168821459859805
mahnen	5	5793	8	3	0.873735620631224	1.8168821459859805
Folge	5	5793	8	3	0.873735620631224	1.8168821459859805
Jäger	5	5793	8	3	0.873735620631224	1.8168821459859805
vorstellen	5	5793	8	3	0.873735620631224	1.8168821459859805
Botschaft	5	5793	8	3	0.873735620631224	1.8168821459859805
